Name,Address,Phone
Holman-Abbeville Mortuary Inc,"434 Ozark Road, Abbeville, Alabama 36310",(334) 585-5261
Stanford & Son Funeral Home,"Routet 431 Bypass, Abbeville, Alabama 36310",(334) 585-5344
Crestview Memorial Funeral Home Inc,"4732 Adamsville Parkkway, Adamsville, Alabama 35005",(205) 674-1616
Nichols Funeral Homes,"Highway 278 East, Addison, Alabama 35540",(256) 747-6063
Armour's Funeral Service,"1465 North Central Avenue, Alexander City, Alabama 35010",(256) 234-2776
Heritage Chapel Funeral Home,"131 Mason Street, Alexander City, Alabama 35010",(256) 234-6327
House Of Hutchinson Funeral Directors,"715 Jefferson Street, Alexander City, Alabama 35010",(256) 234-7531
Radney's Funeral Home Inc,"1326 Dadeville Road, Alexander City, Alabama 35010",(256) 234-2511
Foreman Brown-Service Funeral Home Inc,"Martin Luther King Jr Expressway, Andalusia, Alabama 36420",(334) 222-4567
Keahey Funeral Home,"206 Stanley Avenue, Andalusia, Alabama 36420",(334) 222-8440
Kirk's Funeral Chapel,"501 Martin Luther King Jr Expressway, Andalusia, Alabama 36420",(334) 222-6156
Marshall-Hammond Funeral Home,"230 North Cotton, Andalusia, Alabama 36420",(334) 222-4093
Anniston Funeral Service,"1719 West 10th Street, Anniston, Alabama 36201",(256) 236-0319
Anniston Memorial Funeral Home,"3865 US Highway 431 North, Anniston, Alabama 36206",(256) 820-0024
Chapel Hill Funeral Home & Crematory Inc,"542 West 52nd Street, Anniston, Alabama 36206",(256) 820-5151
Ervin Funeral Chapel,"1518 Brown Avenue, Anniston, Alabama 36201",(256) 237-1717
Gray Brown-Service Mortuary & Crematory,"1329 Wilmer Avenue, Anniston, Alabama 36201",(256) 236-3441
Model City Mortuary,"1625 West 8th Street, Anniston, Alabama 36201",(256) 238-8785
Ardmore Memorial Funeral Home,"27186 East Main Street, Ardmore, Alabama 35739",(256) 423-4100
Taylor Ardmore Funeral Home,"27272 Main Street, Ardmore, Alabama 35739",(256) 423-3344
Benefield Funeral Home of Ashland Inc,"85499 Highway 9, Ashland, Alabama 36251",(256) 354-2434
Clay County Funeral Home & Memory Gardens,"85251 Highway 9, Ashland, Alabama 36251",(256) 354-3214
Limestone Chapel Funeral Home Inc,"322 Highway 31 North, Athens, Alabama 35611",(256) 232-1051
Masons Funeral Home,"718 Browns Ferry Street, Athens, Alabama 35611",(256) 232-4822
McConnell Funeral Home,"1200 East Forest, Athens, Alabama 35611",(256) 232-1515
People Funeral Home Of North Alabama Inc,"12060 Highway 31 South, Athens, Alabama 35611",(256) 232-1600
Spry Funeral Home Of Athens Inc,"804 US Highway 72 West, Athens, Alabama 35611",(256) 232-2622
Atmore Memorial Chapel Funeral Home,"1400 East Nashville Avenue, Atmore, Alabama 36502",(251) 368-2540
Eastside Chapel Funeral Home,"9260 Highway 31, Atmore, Alabama 36502",(251) 368-4540
Johnson-Quimby Funeral Home Inc,"1322 South Main Street, Atmore, Alabama 36502",(251) 368-2176
Mosley's Funeral Home,"1130 Freemanville Drive, Atmore, Alabama 36502",(251) 446-8605
Robinson Funeral Home,"78 Harris Street, Atmore, Alabama 36502",(251) 368-2132
Turner Funeral Chapel,"149 Carver Avenue, Atmore, Alabama 36502",(251) 368-2400
Morgan Funeral Chapel,"625 Gilbert Ferry Road, Attalla, Alabama 35954",(256) 538-7834
Baldwin Community Chapel,"810 West Hurricane Road, Bay Minette, Alabama 36507",(251) 937-6817
Norris Funeral Home,"402 East Second Street, Bay Minette, Alabama 36507",(251) 937-9596
Angwin Mortuary Centers,"600 9th Avenue North, Bessemer, Alabama 35020",(205) 428-0900
Bessemer Brown-Service Funeral Home,"1300 4th Avenue North, Bessemer, Alabama 35020",(205) 425-2424
Brighton Funeral Home Inc,"4400 Bessemer Super Highway, Bessemer, Alabama 35020",(205) 425-3577
Chambers Funeral Home Inc,"2527 9th Avenue North, Bessemer, Alabama 35020",(205) 425-5235
Johnson Memorial Funeral Directors,"2601 9th Avenue North, Bessemer, Alabama 35020",(205) 425-2414
R L Lumzy Funeral Service,"1901-7 1st Avenue North, Bessemer, Alabama 35020",(205) 425-1907
Abanks Mortuary & Crematory,"808 5th Avenue North, Birmingham, Alabama 35203",(205) 322-9050
Angwin Mortuary Centers,"3500 Avenue I, Ensley, Birmingham, Alabama 35218",(205) 781-3631
Arrington Funeral Home Inc,"520 Cotton Avenue South West, Birmingham, Alabama 35211",(205) 786-6288
Bell Funeral Home,"2077 Pratt Highway, Birmingham, Alabama 35214",(205) 798-2890
Birmingham Central Services,"2116 University Blvd, Birmingham, Alabama 35233",(205) 251-5254
Birmingham Mortuary Service,"Highway 411 & Interstate 20, Birmingham, Alabama 35210",(205) 699-8066
Bushelon's Funeral Home,"800 14th Street South West, Birmingham, Alabama 35211",(205) 786-3449
Davenport & Harris Funeral Homes Inc,"301 Martin Luther King Jr Drive, Birmingham, Alabama 35211",(205) 252-2103
DFS Memorials Birmingham,"2885 Allison Bonnet Memorial Drive, Birmingham, Alabama 35023",(205) 206-7785
Earnest Johnson Funeral Home,"8531 Zion City Road, Birmingham, Alabama 35206",(205) 836-3583
Elmwood Cemetery,"600 Martin Luther King Jr Drive, Birmingham, Alabama 35211",205-251-3114
Grey Memorial Funeral Home,"2512 29th Avenue North, Birmingham, Alabama 35207",(205) 251-1630
Henderson Funeral Home,"4904 1st Avenue North, Birmingham, Alabama 35222",(205) 595-0887
Jefferson Memorial Funeral Home,"1591 Gadsden Highway, Birmingham, Alabama 35235",(205) 322-0544
Johns-Ridout's Chapels,"1802 Oxmoor Road, Birmingham, Alabama 35209",205-879-3401
Johns-Ridout's Mortuary Elmwood Chapel,"800 Dennison Ave SW, Birmingham, Alabama 35211",(205) 251-7227
Lakeshore Memorial Chapel,"131 Oxmoor Court, Birmingham, Alabama 35209",(205) 942-4441
Lett Funeral Home,"2145 Bessemer Road, Birmingham, Alabama 35208",(205) 788-0079
Parker Chapel Funeral Service,"1900 Avenue I, Birmingham, Alabama 35218",(205) 781-5678
Poole Funeral Chapel Inc,"1501 7th Avenue North, Birmingham, Alabama 35203",(205) 322-5574
Ridout's Brown-Service Inc,"Lacke Building, Birmingham, Alabama 35203",(205) 322-5613
Ridout's Roebuck Chapel,"9012 Parkway East, Birmingham, Alabama 35206",(205) 833-7171
Ridout's Valley Chapel,"1800 Oxmoor Road, Birmingham, Alabama 35209",(205) 879-3401
Roberts Funeral Home Inc/Central Park Chapel,"1337 Bessemer Road, Birmingham, Alabama 35208",(205) 925-5115
Shortridge Funeral Home,"311 17th Street Ensley, Birmingham, Alabama 35218",(205) 785-3119
Smith & Gaston Funeral Director,"102 6th Avenue South West, Birmingham, Alabama 35211",(205) 322-3581
Southside Chapel,"2116 University Boulevard, Birmingham, Alabama 35233",205-251-5254
Wren Funeral Home,"2516 Finley Blvd, Birmingham, Alabama 35234",(205) 250-0994
Blountsville Funeral Home,"69555 Main Street, Blountsville, Alabama 35031",(205) 429-4137
Cahaba Memorial Funeral Chapel,"Patrick & Middlebrook, Brent, Alabama 35034",(205) 926-4362
Cheatham Bros Funeral Home,"523 Sowell Road, Brewton, Alabama 36426",(251) 867-4597
Jones Funeral Home,"610 Sowell Road, Brewton, Alabama 36426",(251) 809-0190
Presley-Fluker Funeral Home,"39676 Highway 31, Brewton, Alabama 36426",(251) 809-0122
Rudder Funeral Homes Inc,"1552 County Road 94, Bridgeport, Alabama 35740",(256) 495-2975
Bumpers Funeral Home,#VALUE!,(205) 459-2515
Southwest Alabama Funeral Services Inc,"302 Vanity Fair Avenue, Butler, Alabama 36904",(205) 459-4777
Charter Funeral Home & Crematory,"813 PusHomeataha, Butler, Alabama 36904",(205) 621-0800
Westside Funeral Home,"2521 Highway 31, Calera, Alabama 35040",(205) 668-1188
Brownlee Funeral Home,"8505 Highway 31 South, Calera, Alabama 35040",(334) 682-9116
Christian Memorial Funeral Homes Inc,"Claibourne Street, Camden, Alabama 36726",(334) 682-9842
Dunklin-Herndon Funeral Home,"515 Camden By-Pass, Camden, Alabama 36726",(334) 682-9904
Hudson Funeral Home,"120 Broad Street, Camden, Alabama 36726",(334) 682-5492
Rockco Funeral Home,"330 Highway 265 South, Camden, Alabama 36726",(205) 926-4876
