Name,Address,Phone,Lat,Long
Holman-Abbeville Mortuary Inc,"434 Ozark Rd, Abbeville, AL 36310, USA",(334) 585-5261,31.554803,-85.268855
Stanford & Son Funeral Home,"2378 US-431, Abbeville, AL 36310, USA",(334) 585-5344,31.5558681,-85.2832779
Crestview Memorial Funeral Home Inc,"4732 Adamsville Pkwy, Adamsville, AL 35005, USA",(205) 674-1616,33.6004106,-86.94781189999999
Nichols Funeral Homes,"32657 US-278, Addison, AL 35540, USA",(256) 747-6063,34.1878512,-87.1525578
Armour's Funeral Service,"1465 N Central Ave, Alexander City, AL 35010, USA",(256) 234-2776,32.9613695,-85.96375309999999
Heritage Chapel Funeral Home,"131 Mason St, Alexander City, AL 35010, USA",(256) 234-6327,32.9311035,-85.9498167
House Of Hutchinson Funeral Directors,"715 Jefferson St, Alexander City, AL 35010, USA",(256) 234-7531,32.9524748,-85.94705520000001
Radney's Funeral Home Inc,"1326 Dadeville Rd, Alexander City, AL 35010, USA",(256) 234-2511,32.929385,-85.94673709999999
Foreman Brown-Service Funeral Home Inc,"1516 M.L.K. Jr Expy, Andalusia, AL 36420, USA",(334) 222-4567,31.3181909,-86.455037
Keahey Funeral Home,"206 Stanley Ave, Andalusia, AL 36420, USA",(334) 222-8440,31.3065695,-86.4712055
Kirk's Funeral Chapel,"501 M L King Jr Expy, Andalusia, AL 36420, USA",(334) 222-6156,31.3205126,-86.4810311
Marshall-Hammond Funeral Home,"230 N Cotton St, Andalusia, AL 36420, USA",(334) 222-4093,31.3122013,-86.48190389999999
Anniston Funeral Service,"630 S Wilmer Ave, Anniston, AL 36201, USA",(256) 236-0319,33.6387757,-85.8273876
Anniston Memorial Funeral Home,"3865 US-431, Anniston, AL 36206, USA",(256) 820-0024,33.7291126,-85.8782992
Chapel Hill Funeral Home & Crematory Inc,"542 W 52nd St, Anniston, AL 36206, USA",(256) 820-5151,33.71316910000001,-85.8416652
Ervin Funeral Chapel,"1518 Brown Ave, Anniston, AL 36201, USA",(256) 237-1717,33.6644999,-85.8462
Gray Brown-Service Mortuary & Crematory,"1329 Wilmer Ave, Anniston, AL 36201, USA",(256) 236-3441,33.6620879,-85.8281058
Model City Mortuary,"1625 W 8th St, Anniston, AL 36201, USA",(256) 238-8785,33.6552164,-85.8516781
Ardmore Memorial Funeral Home,"27186 E, Main St, Ardmore, AL 35739, USA",(256) 423-4100,34.9912777,-86.8345873
Taylor Ardmore Funeral Home,"27272 Main St, Ardmore, AL 35739, USA",(256) 423-3344,34.9909971,-86.83325649999999
Benefield Funeral Home of Ashland Inc,"85499 AL-9, Ashland, AL 36251, USA",(256) 354-2434,33.2826762,-85.795853
Clay County Funeral Home & Memory Gardens,"85251 AL-9, Ashland, AL 36251, USA",(256) 354-3214,33.2819105,-85.7999523
Limestone Chapel Funeral Home Inc,"322 US-31, Athens, AL 35611, USA",(256) 232-1051,34.8093304,-86.9474663
Masons Funeral Home,"718 Browns Ferry St, Athens, AL 35611, USA",(256) 232-4822,34.7977803,-86.97891
McConnell Funeral Home,"1200 E Forrest St, Athens, AL 35613, USA",(256) 232-1515,34.7960202,-86.9535298
People Funeral Home Of North Alabama Inc,"12060 US-31, Tanner, AL 35671, USA",(256) 232-1600,34.7320493,-86.95637660000001
Spry Funeral Home Of Athens Inc,"804 US Hwy 72 W, Athens, AL 35611, USA",(256) 232-2622,34.790656,-86.9794005
Atmore Memorial Chapel Funeral Home,"1400 E Nashville Ave, Atmore, AL 36502, USA",(251) 368-2540,31.0243683,-87.47830189999999
Eastside Chapel Funeral Home,"9260 US-31, Atmore, AL 36502, USA",(251) 368-4540,31.02405619999999,-87.45934249999999
Johnson-Quimby Funeral Home Inc,"1322 S Main St, Atmore, AL 36502, USA",(251) 368-2176,31.0075524,-87.4943069
Mosley's Funeral Home,"1130 Freemanville Dr, Atmore, AL 36502, USA",(251) 446-8605,31.0822533,-87.5167924
Robinson Funeral Home,"78 Harris St, Atmore, AL 36502, USA",(251) 368-2132,31.0298216,-87.4836486
Turner Funeral Chapel,"149 Carver Ave, Atmore, AL 36502, USA",(251) 368-2400,31.0315922,-87.4837943
Morgan Funeral Chapel,"625 Gilbert Ferry Rd SE, Attalla, AL 35954, USA",(256) 538-7834,33.9961892,-86.1014915
